Sci Name,Name, Plant Type,Color,Hardiness Zones,Blooms in,Height,Soil needs,Sun needs,Water needs,Maintenance
Achillea|Yarrow|"Perennials"|"Yarrow comes in a wide range of colors including white, cream, yellow, purple, orange, pink and red."|":3:4:5:6:7:8:9:"|"Spring, Summer"|"This plant usually grows between 30 and 90 cm (1 to 3 ft) in height."|"Achillea will grow best in well drained soil, with a pH between 5.5 and 7.0."|"Full sun"|"low"|"low"
Aconitum|Aconite; Monkshood; Wolfsbane|"Perennials"|"The flowers come in shades of blue, purple, white, yellow, or even pink."|":3:4:5:6:7:8:"|"Autumn, Summer"|"Aconite is a tall plant that grows from 30 cm (1 ft) to 180 cm (6 ft) high, depending on species."|"Aconite will perform best in rich, moist and well drained soil, with a pH level between 5.0 and 6.0."|"Full sun, Partial sun"|"average"|"medium"
Agapanthus|African Lily; Lily of the Nile|"Bulbs, Perennials"|"These flowers are usually blue, white and purple."|":6:7:8:9:10:11:"|"Autumn, Summer"|"Agapanthus range in height from just 20 cm (8 inches) up to 1,8 m (6 ft) for larger varieties."|"Agapanthus grows best in fertile, moist and well-drained soil. The pH of the soil is not so important. It can grow in acid, neutral, and alkaline soils."|"Full sun, Partial sun"|"average"|"low"
Ageratum|Whiteweed; Flossflower|"Annuals"|"The flowers come in shades of blue, purple, red, pink and white."|":2:3:4:5:6:7:8:9:10:11:"|"Autumn, Summer"|"These plants can grow up to 60 cm (2 ft) in height."|"Ageratum prefers moist, but well drained soil, with pH between 5.5 and 7.5."|"Full sun, Partial sun"|"average"|"low"
Ajuga|Bugle; Bugleweed|"Annuals, Perennials"|"The flowers are usually blue, purple and white."|":3:4:5:6:7:8:9:10:"|"Spring, Summer"|"These plants can grow up to 30 cm (1 ft) tall."|"The plant grows best in moist and well drained soil, with a pH between 4.0 to 6.5. However, it can handle drought and dry soils."|"Partial sun, Shade"|"average"|"low"
Alcea|Hollyhock|"Annuals, Perennials"|"Hollyhock blooms in a rainbow of colors including red, purple, pink, white, yellow and even almost black."|":3:4:5:6:7:8:9:"|"Summer"|"Hollyhocks range in height from 60 cm (2 ft) to 3 metres (10 ft) tall."|"Alcea prefers rich and well drained soil, with a pH between 6.0 and 8.0."|"Full sun"|"average"|"hard"
Allium|Ornamental Onion|"Bulbs, Perennials"|"Most Alliums come in shades of purple, but there are pink, blue, white and yellow varieties as well."|":3:4:5:6:7:8:9:10:"|"Spring, Summer"|"Alliums range in size from 15 cm (6 inches) to 180 cm (6 ft) giants."|"Alliums are not fussy about their soil, so long as it is well drained."|"Full sun"|"average"|"low"
Alstroemeria|Peruvian Lily; Lily of the Incas|"Bulbs, Perennials"|"The flowers come in various colors, from orange, pink, rose, purple, red to yellow and white."|":5:6:7:8:9:10:11:"|"Autumn, Summer"|"The species range from dwarf species (20 cm or 8 inches tall) to the larger varieties that grow up to 120 cm or 4 ft in height."|"The plant grows best in fertile, moist and well drained soil which is neutral or slightly acidic."|"Full sun, Partial sun"|"average"|"low"
Amaryllis|Amaryllis|"Bulbs, Perennials"|"The flower color is usually some shade of pink and sometimes even white."|":7:8:9:10:"|"Autumn, Summer"|"Amaryllis has stem that can reach 30 to 90 cm (1-3 ft) in height, and each flower is 6 to 11 cm (2-4 inches) in diameter."|"Amaryllis grows best in well-drained and slightly acidic soil."|"Full sun, Partial sun"|"average"|"low"
Amsonia|Blue Star|"Perennials"|"The flowers are usually white but may be blue, pink and purple."|":3:4:5:6:7:8:9:"|"Spring, Summer"|"These plants grow up to 120 cm (4 ft) tall, depending on the variety. There are also dwarf varieties that only reach 10 cm (4 inches) in height."|"Amsonia prefers rich, moist and well-drained soil. The ideal soil pH is between 6.0 and 7.0."|"Full sun, Partial sun"|"average"|"low"
Anemone|Windflower|"Perennials"|"The flowers can be found in all colors of the rainbow."|":4:5:6:7:8:9:10:11:"|"Spring, Autumn, Summer"|"Anemone can grow from 10 cm to 1,5 metres (4 inches to 5 ft) tall."|"The plant likes moist, but well drained soil. Anemones have a wide pH tolerance, from acid to neutral and alkaline."|"Full sun, Partial sun"|"average"|"low"
Anthurium|Flamingo Flower; Laceleaf|"Perennials"|"These plants range in color from red to pink, purple, yellow, white and green."|":10:11:12:"|"Spring, Autumn, Summer"|"The species can grow up to 90 cm (3 ft) in height."|"Anthurium grows best in rich, well drained soil, with a pH between 5.5 and 6.5."|"Full sun, Partial sun"|"average"|"low"
Antirrhinum|Snapdragon; Dragon Flower|"Annuals, Perennials"|"The flowers come in a range of colors including white, red, pink, orange, yellow, green and purple. Bicolor varieties are also available."|":5:6:7:8:9:10:"|"Spring, Autumn, Summer"|"Snapdragons can grow from 20 cm (8 inches) to 120 cm (4 ft) tall, depending on species."|"This plant prefers rich, moist and well drained soil. The optimal soil pH is between 5.5 and 7.0."|"Full sun"|"average"|"low"
Aquilegia|Columbine|"Perennials"|"The flowers are yellow, white, blue, red, pink, purple or a combination of these shades."|":3:4:5:6:7:8:9:"|"Spring, Summer"|"Columbine can grow up to 60 cm (2 ft) tall."|"The plant grows best in moist and well drained soil, with a pH between 6.0 and 7.0. (slightly acidic to neutral). Columbine grows well in just about any type of habitat, from dry deserts to mountains."|"Full sun, Partial sun"|"average"|"low"
Asclepias|Milkweed|"Perennials"|"These flowers come in shades of red, purple, pink, orange, yellow and white."|":3:4:5:6:7:8:9:"|"Autumn, Summer"|"The plant reaches heights of 30 cm (1 ft) to 180 cm (6 ft)."|"Asclepias thrive best in well-drained soil, with a pH range of 5.0 to 7.0."|"Full sun"|"average"|"low"
Aster|Starwort; Frost Flower|"Perennials"|"The flowers can be white, blue, purple, and red, mostly with yellow centers."|":3:4:5:6:7:8:9:"|"Autumn, Summer"|"Asters are 60-180 cm (2-6 ft) tall."|"Asters grow best in moist and well drained soil, with a pH ranging from 5.5 to 7.5."|"Full sun, Partial sun"|"average"|"medium"
Astilbe|False Goat&#39;s Beard|"Perennials"|"The flowers are available in white, pink and red colors."|":3:4:5:6:7:8:9:"|"Spring, Autumn, Summer"|"The plants range in size from 30 cm (1 ft) to 150 cm (5 ft) in height."|"Astilbes thrive best in moist and well drained soil, with a pH level between 6.0 and 8.0."|"Partial sun, Shade"|"average"|"low"
Astrantia|Masterwort|"Perennials"|"The flower colors are white, pink, purple and red."|":4:5:6:7:8:9:"|"Spring, Summer"|"Astrantia can grow up to 90 cm (3 ft) in height."|"These plants like fertile and moist, but well-drained soil. Most of them prefer loamy soils that retain moisture, but drain off standing water. However, some species tolerate drier soils and more sun exposure. They do not appear to be fussy about the soil pH."|"Full sun, Partial sun"|"average"|"medium"
Banksia|Australian Honeysuckle|"Perennials, Shrubs, Trees"|"Banksia flowers are yellow, creamy, orange, red, green, violet or even brown."|":9:10:11:"|"Spring, Autumn, Winter, Summer"|"Banksias range from 25 cm (1 ft) to 30 metres (100 feet) in height, depending on the species."|"These plants will grow in most soil types if given good drainage. However, they will perform best in sandy soils with a pH between 5.5 and 7.0."|"Full sun, Partial sun"|"average"|"low"
Baptisia|False Indigo|"Perennials"|"Baptisia comes in shades of blue, yellow and white, while many hybrids can be found in a wide variety of colors."|":3:4:5:6:7:8:9:"|"Spring, Summer"|"The species range in size from 30 cm to 1,5 metres (1-5 ft) in height."|"Baptisia prefers rich, well drained and slightly acidic soils."|"Full sun"|"average"|"low"
Begonia|Begonia|"Annuals, Bulbs, Perennials"|"Begonias come in many different colors, but mostly in red, white, yellow, orange and pink."|":2:3:4:5:6:7:8:9:10:11:"|"Spring, Autumn, Summer"|"Begonias can grow from 20 to 60 cm (8 inches - 2 ft) in height."|"Begonias prefer moist, well-drained and more acidic soil. They have a low tolerance for drought."|"Partial sun, Shade"|"average"|"low"
Bellis|Daisy|"Perennials"|"These flowers come in shades of white, red, pink and purple. They usually have white petals and a yellow center, but many cultivars are available in a range of colors."|":3:4:5:6:7:8:9:10:"|"Spring, Autumn, Summer"|"The species are small, growing up to 20 cm (8 inches) in height."|"This plant likes rich, moist and well drained soil. It is not fussy about the soil pH."|"Full sun, Partial sun"|"average"|"low"
Bergenia|Elephants Ears; Winter Glow; Pigsqueak|"Perennials"|"Bergenia comes in shades of red, pink, purple and white."|":3:4:5:6:7:8:9:"|"Spring, Winter, Summer"|"Members in this genus usually grow between 20 and 60 cm (8 inches to 2 ft) tall."|"Bergenia prefers moist, but well drained soil. It tolerates a wide range of soil conditions."|"Full sun, Partial sun"|"average"|"low"
Borago|Borage|"Annuals, Perennials"|"The flowers are mostly blue in color, but can also be pink."|":2:3:4:5:6:7:8:9:10:11:"|"Spring, Autumn, Summer"|"They can grow up to 2 metres (6.5 ft) in height, depending on species."|"These plants will grow in any type of soil, as long as it is rich and well drained. The ideal soil pH is between 6.0 and 7.0."|"Full sun, Partial sun"|"average"|"low"
Bougainvillea|Bougainvillea|"Climbers, Shrubs, Trees"|"Bougainvillea bracts come in shades of red, purple, yellow, pink, orange and white. The small flowers are generally white."|":9:10:11:"|"Spring, Autumn, Winter, Summer"|"These plants can grow from 60 cm to 12 metres (2 to 40 ft) tall, depending on the species."|"Bougainvillea prefers moist, well-drained and slightly acidic soil with a pH of 5.5 to 6.5."|"Full sun"|"low"|"low"
Bouvardia|Firecracker Bush; Trumpetellia; Hummingbird Flower|"Herbs, Shrubs"|"Bouvardia comes in shades of white, yellow, pink, orange and red."|":9:10:11:"|"Spring, Autumn, Summer"|"The species can grow between 60 cm (2 ft) and 1,5 metres (5 ft) tall."|"Bouvardia prefers well drained, sandy to clay loam soil."|"Full sun, Partial sun"|"average"|"low"
Brugmansia|Angel&#39;s Trumpet|"Shrubs, Trees"|"The flowers come in shades of white, yellow, pink, orange and red."|":8:9:10:11:"|"Autumn, Winter, Summer"|"The species range in size from 90 cm (3 ft) to 8 m (26 ft) tall."|"This plant likes rich, fertile, well-drained and moisture-retentive soil. It also prefers acidic soil, with a pH range of 5.5 to 7.0."|"Full sun, Partial sun"|"average"|"low"
Buddleia|Butterfly Bush|"Shrubs, Trees"|"The flowers come in shades of purple, blue, white, pink or red."|":5:6:7:8:9:10:"|"Autumn, Summer"|"The plant can grow between 30 cm (1 ft) and 5 metres (16 ft) high, depending on species."|"Buddleia will grow in almost any soil, but will perform best in moist and well drained soil, with a pH level between 6.0 and 7.0."|"Full sun"|"average"|"low"
Calendula|Marigold|"Annuals, Herbs, Perennials"|"Calendula flowers are usually yellow and orange."|":2:3:4:5:6:7:8:9:10:11:"|"Spring, Autumn, Winter, Summer"|"The plant may grow from 30 to 60 cm (1-2 ft) in height, depending on the variety and soil conditions."|"This plant tolerates a wide range of soil conditions, but does best in rich, well-drained soils. The soil pH should be between 5.5 and 7.0."|"Full sun, Partial sun"|"average"|"low"
Calluna|Heather; Common Heather; Scottish Heather|"Shrubs"|"This flower comes in shades of red, purple, pink and white."|":4:5:6:"|"Summer"|"This plant grows between 30 to 60 cm (1-2 ft) tall."|"Calluna grows best in acidic, moist and well drained soil."|"Full sun"|"average"|"low"
Camassia|Camas; Quamash|"Bulbs, Perennials"|"The flowers are usually blue, purple and white, with attractive yellow stamens."|":3:4:5:6:7:8:9:10:11:"|"Spring, Summer"|"These plants can grow up to about 90 cm (3 ft) tall."|"They prefer moist and well-drained soil, and are not fussy about the pH of the soil."|"Full sun, Partial sun"|"average"|"low"
Camellia|Camellia|"Shrubs, Trees"|"Camellia offers a large palette of colors, from white to yellow, pink red and purple."|":6:7:8:9:10:"|"Spring, Autumn, Winter"|"These slow growers can reach a height of 1 to 6 metres (3-20 ft)."|"They will perform best in moist and well-drained soil, with a pH level between 5.5 and 6.5."|"Partial sun, Shade"|"average"|"low"
Campanula|Bellflower|"Annuals, Perennials"|"Depending on the species, Campanula produces white, blue, purple, pink or lilac bells."|":3:4:5:6:7:8:9:"|"Spring, Autumn, Summer"|"Some species grow just 5 to 10 cm (a few inches) tall, while others can grow 2 metres (6 ft) in height."|"Campanula prefers rich, well drained soil."|"Full sun, Partial sun"|"average"|"low"
Canna|Canna Lily|"Bulbs, Perennials"|"The flowers come in various colors, including red, orange, pink, yellow, cream and white."|":7:8:9:10:11:"|"Autumn, Summer"|"The species vary in height from 90 cm (3 ft) to 3 m (10 ft)."|"They can be planted in a wide range of soils, but optimal soil is fertile, moist and well-drained. The ideal soil pH is between 5.5 and 6.5."|"Full sun"|"average"|"medium"
Cattleya|Queen of Orchids; Corsage Orchid|"Perennials"|"These flowers come in a variety of colors including white, yellow, red, purple and blue."|":10:11:12:13:"|"Spring, Autumn, Winter, Summer"|"They range in height from a few inches tall (5-10 cm) to up to 3 feet (90 cm), depending on the species and environmental conditions."|"Cattleyas do not grow from seeds or rooted stems. Instead, they naturally grow on forest floors or attached to another plant."|"Full sun, Partial sun"|"average"|"medium"
Celosia|Celosia|"Annuals, Perennials"|"The flowers can be purple, red, orange, pink, gold, yellow and white."|":2:3:4:5:6:7:8:9:10:11:12:"|"Autumn, Summer"|"The plants range from dwarf species to the larger varieties that grow up to 150 cm (5 ft) high."|"Celosia prefers rich, moist and well drained soil. It thrives in clay and is drought tolerant once established. The soil should have a pH level between 6.0 and 7.0."|"Full sun"|"average"|"low"
Centaurea|Cornflower; Bachelor&#39;s Button; Basket Flower|"Annuals, Perennials"|"The flowers are traditionally blue in color but are also available in purple, pink, yellow and white."|":2:3:4:5:6:7:8:9:10:11:"|"Spring, Summer"|"Centaurea can reach 30 to 90 cm (1 to 3 ft) in height."|"Centaurea plants prefer moist and well drained soil, with a pH level between 5.5 and 7.0.  However, they are very adaptable and will grow in nutritionally poor soils."|"Full sun, Partial sun"|"average"|"low"
Chrysanthemum|Mum|"Perennials"|"The flowers come in a rainbow of colors, but the most common are red, yellow, white and purple."|":4:5:6:7:8:9:10:11:"|"Spring, Autumn"|"Chrysanthemums range in size from 30 cm (1 ft) to 120 cm (4 ft)."|"The plant likes moist and well drained soil. The optimal soil pH is between 6.0 and 7.0."|"Full sun"|"average"|"medium"
Cistus|Rock Rose|"Perennials, Shrubs"|"The flowers come in shades of purple, pink and white."|":7:8:9:10:11:"|"Spring, Summer"|"Rock Rose can grow up to 4 m (13 ft) in height, depending on species. Cistus ladanifer, also known as Gum Cistus, can reach a height of 4 m (13 ft), but is more commonly 1 to 2 m (3 to 6 ft) tall."|"Cistus will grow in almost any soil that is well-drained and will tolerate a wide pH range. The plant is drought tolerant and thrives in poor and moderately fertile soil."|"Full sun"|"low"|"low"
Clarkia|Godetia|"Annuals"|"These flowers come in a range of colors including red, purple, pink, orange and white."|":3:4:5:6:7:8:9:10:"|"Autumn, Summer"|"This plant can reach up to 150 cm (5 ft) tall."|"Clarkia grows best in rich, moist, well drained and loamy soils, with a pH between 6.0 and 8.5."|"Full sun, Partial sun"|"low"|"low"
Claytonia|Spring Beauty|"Annuals, Bulbs, Perennials"|"The flowers come in shades of white, pink, purple and red."|":3:4:5:6:7:8:9:"|"Spring, Winter, Summer"|"This plant can grow up to 30 cm (1 ft) tall."|"Spring Beauty prefers rich and well-drained soil. The ideal soil pH is between 5.5 and 7.5."|"Full sun, Partial sun"|"average"|"low"
Clematis|Travellers Joy; Old Man&#39;s Beard|"Climbers, Perennials, Shrubs"|"These flowers offer a wide range of different colors."|":3:4:5:6:7:8:9:10:11:"|"Spring, Autumn, Winter, Summer"|"These plants range in size from 30 cm (1 ft) to 12 metres (40 ft)."|"Clematis prefers moist and well drained soil. The ideal soil ph is between 5.5 and 7.0."|"Full sun, Partial sun"|"average"|"low"
Clerodendrum|Glorybower; Bagflower|"Climbers, Shrubs, Trees"|"The flowers come in various colors including red, purple, orange, pink, yellow, cream and white."|":7:8:9:10:11:"|"Spring, Autumn, Winter, Summer"|"These plants usually grow from 90 cm (3 ft) to 12 m (40 ft) tall. Some species, such as Clerodendrum loribundum, can grow up to 30 m (98 ft) in height."|"Glorybower likes fertile, moist and well-drained soil, but is tolerant of most soil types. It is not particular as to soil pH."|"Full sun, Partial sun"|"average"|"medium"
Clitoria|Butterfly Pea Plant|"Climbers, Perennials, Shrubs, Trees"|"The flowers often come in shades of blue, purple and white, but are typically spotted in varying degrees of these colors."|":5:6:7:8:9:10:11:"|"Spring, Autumn, Summer"|"These plants range in size, so there is something to suit all gardens! Some species, such Clitoria fairchildiana, can grow up to 15 m (50 ft) in height."|"They are well adapted to a variety of soil types. However, they prefer moist, rich and well-drained soil, with a pH value from 6.0 to 8.0."|"Full sun, Partial sun"|"average"|"low"
Convallaria|Lily of the Valley|"Bulbs, Perennials"|"These small flowers are usually white, but sometimes pink."|":2:3:4:5:6:7:8:9:"|"Spring, Summer"|"Lily of the Valley reaches about 30 cm (1 ft) in height."|"Lily of the Valley will grow best in rich, moist and well drained soil. This plant is not fussy about the soil pH."|"Partial sun, Shade"|"average"|"low"
Coreopsis|Tickseed; Calliopsis|"Annuals, Perennials"|"Although usually yellow in color, these flowers come in different colors including red, orange, pink, maroon,  lavender. Bi-colored flowers are also possible."|":3:4:5:6:7:8:9:10:"|"Autumn, Summer"|"The different varieties of this plant range in height from 15 cm (6 inches) to 120 cm (4 ft)."|"Coreopsis will thrive in almost any type of soil that is well drained."|"Full sun"|"average"|"low"
Cosmos|Cosmos|"Annuals"|"These flowers come in amazing variety of bright colors, from pink, orange and scarlet to yellow and white."|":2:3:4:5:6:7:8:9:10:11:"|"Autumn, Summer"|"Cosmos can grow between 30-120 cm (1-4 ft) tall."|"Cosmos likes moist and well drained soil, with a pH between 5.0 and 8.0."|"Full sun"|"average"|"low"
Crinum|Swamp Lily; Spider Lily|"Bulbs, Perennials"|"Most species have white or whitish flowers, but there are also pink, purple and red varieties. There are also a number of bi-colored varieties."|":8:9:10:11:"|"Spring, Autumn, Winter, Summer"|"These plants can range from 90 cm to 180 cm (3 to 6 ft) in height, depending on the species."|"They are not fussy about soil type and will succeed in a wide range of soil types, though they prefer rich, moist and well-drained soil."|"Full sun, Partial sun"|"average"|"low"
Crocosmia|Montbretia|"Bulbs, Perennials"|"These flowers are usually in shades of red and orange, but can also be yellow."|":5:6:7:8:9:10:"|"Autumn, Summer"|"This plant can grow up to 60 cm (2 ft) tall."|"Crocosmia likes fertile, moist and well drained soil of any pH. However, it will grow in a wide range of conditions."|"Full sun, Partial sun"|"average"|"low"
Crocus|Crocus|"Bulbs"|"These flowers are white, cream, yellow, blue and purple, and there are even striped varieties."|":3:4:5:6:7:8:9:"|"Spring, Autumn, Winter"|"Crocus can reach between 20 cm (8 inches) and 30 cm (12 inches) in height."|"Although Crocus is tolerant of a wide range of soils, it will grow best in a well drained soil, with a pH between 6.0 and 8.0."|"Full sun, Partial sun"|"average"|"low"
Cyclamen|Sowbread|"Bulbs, Perennials"|"The flowers are usually white, red, rose, purple or pink."|":4:5:6:7:8:9:"|"Autumn, Winter"|"Cyclamens are relatively small plants growing up to 15 cm (6 inches) in height."|"These plants prefer organically rich and well drained soil. Grow them in moist, but not waterlogged soil."|"Partial sun"|"average"|"low"
Cymbidium|Cymbidium|"Perennials"|"Cymbidium comes in various colors such as white, green, yellow, brown, orange, pink and red."|":5:6:7:8:9:10:"|"Spring, Autumn, Winter"|"These plants range in size, from dwarf species to some reaching 1,5 metres (5 ft) in height."|"This plant can grow in almost any kind of soil that is well drained."|"Partial sun"|"average"|"low"
Dahlia|Dahlia|"Bulbs, Perennials"|"Dahlias bloom in all colors, except blue."|":3:4:5:6:7:8:9:10:11:"|"Autumn, Summer"|"The species vary in height, from the 40 cm (1 ft) right up to 2 metres (7 ft)."|"Dahlia performs best in rich, moist and well drained soil that is slightly acidic."|"Full sun"|"average"|"medium"
Datura|Devil&#39;s Trumpet|"Annuals, Perennials"|"The flowers are usually white, but may be yellow, pink and purple."|":5:6:7:8:9:10:11:"|"Spring, Autumn, Summer"|"These plants can reach up to 2 m (7 ft) in height."|"Datura prefers rich, moist and well-drained soil. The ideal soil ph is between 6.0 and 7.0."|"Full sun, Partial sun"|"average"|"low"
Delosperma|Ice Plant|"Cactus - Succulents, Perennials"|"Delosperma comes in many colors including red, purple, orange, pink, yellow and white."|":5:6:7:8:9:10:"|"Spring, Autumn, Summer"|"The plant grows up to 15 cm (6 inches) in height."|"Delosperma likes dry, sandy and poor soils with good drainage. It prefers soils with a pH level between 6.0 and 8.0."|"Full sun"|"low"|"low"
