Sci Name,Name, Plant Type,Color,Hardiness Zones,Blooms in,Height,Soil needs,Sun needs,Water needs,Maintenance
Platycodon|Balloon Flower; Chinese Bellflower; Japanese Bellflower|"Perennials"|"Platycodon come in purple, blue, pink and white."|":3:4:5:6:7:8:"|"Autumn, Summer"|"The plant can grow nearly 60 cm (2 feet) tall."|"Platycodon will grow in any good well-drained soil, but prefers sandy soil. It will do best in a slightly acidic soil."|"Full sun, Partial sun"|"average"|"low"
Plumbago|Plumbago|"Annuals, Climbers, Perennials, Shrubs"|"The flowers come in a variety of colors, but the most common are blue and white."|":8:9:10:11:"|"Spring, Autumn, Winter, Summer"|"The plants can reach up to 3 m (10 ft) in height, although they are typically smaller."|"These plants prefer fertile and well-drained soils. They are drought tolerant and are not fussy about the soil&#39;s pH level."|"Full sun, Partial sun"|"average"|"low"
Plumeria|Frangipani; Hawaiian Lei Flower|"Shrubs, Trees"|"These flowers can be found in shades of white, yellow, pink and red."|":9:10:11:"|"Spring, Autumn, Summer"|"Their sizes vary depending on the variety. Some species can grow up to 10 metres (32 ft) in height, but dwarf varieties are also available."|"Plumeria prefers moist, but well drained soil that is slightly acidic."|"Full sun, Partial sun"|"average"|"low"
Polygonatum|Solomon&#39;s Seal|"Perennials"|"The flowers come in white, green or pink, in solid colors or in combinations."|":3:4:5:6:7:8:"|"Spring, Summer"|"These plants vary in height from 60 to 200 cm (2 to 7 ft), depending on species."|"This plant prefers fertile, moist and well-drained soil. It is not fussy about soil pH,"|"Partial sun, Shade"|"average"|"low"
Potentilla|Cinquefoil|"Annuals, Perennials, Shrubs"|"The flowers are usually yellow, but can also be white, purple, pink or red."|":2:3:4:5:6:7:8:9:"|"Spring, Autumn, Summer"|"Cinquefoil range in height from 30 to 120 cm (1 to 4 ft), depending on the varieties."|"It will thrive in almost any soil, though it prefers reasonably well-drained and moderately fertile soil. The soil pH should be between 5.0 and 7.0"|"Full sun, Partial sun"|"average"|"low"
Primula|Primrose|"Perennials"|"These flowers come in a wide range of colors, from blue, purple, green and orange to pink, red, yellow and white."|":3:4:5:6:7:8:9:"|"Spring"|"The species grows up to 60 cm (2 ft) in height."|"Primulas prefer moist, but well drained soil and grow best in neutral or slightly acidic soil."|"Full sun, Partial sun"|"average"|"low"
Protea|Protea|"Shrubs, Trees"|"These flowers come in shades of white, purple, red, orange, yellow and green."|":8:9:10:11:"|"Spring, Autumn, Winter, Summer"|"Proteas range in height from tiny shrubs to tall trees of 10 meters (33 ft)."|"The majority of species prefer well drained, sandy and slightly acidic soil (pH 5.5 to 7.0)."|"Full sun"|"low"|"low"
Prunus|Prunus|"Shrubs, Trees"|"Prunus flowers comes in shades of white, pink, purple and red."|":2:3:4:5:6:7:8:9:"|"Spring, Autumn, Winter, Summer"|"These plats range in height from 1,5 metres to 12 metres (5 to 40 ft) tall."|"Prunus likes moist and well drained soil that is acidic, neutral or alkaline."|"Full sun"|"average"|"low"
Pulmonaria|Lungwort|"Perennials"|"The flowers come in shades of blue, purple, pink and white."|":3:4:5:6:7:8:9:"|"Spring, Winter"|"Pulmonaria can grow up to 30 cm (1 ft) tall."|"Pulmonaria likes moist and well drained soil. Most of the species thrive best in soil with a pH in the 7.0 to 7.5 range."|"Partial sun, Shade"|"average"|"low"
Quesnelia|Quesnelia|"Cactus - Succulents, Perennials"|"The flowers come in red, blue, pink and yellow colors."|":9:10:11:12:"|"Spring, Winter"|"These plants can grow up to 60 cm (2 ft) in height."|"Quesnelia prefers moist and well drained soil. It is not fussy about soil pH."|"Full sun, Partial sun, Shade"|"average"|"low"
Rafflesia|Rafflesia|""|"Rafflesia is reddish brown with white marks on its petals."|"13"|"Spring, Autumn, Winter, Summer"|"Rafflesia can reach up to 1 m (more than 3 ft) in diameter."|"Rafflesia is a parasitic plant and depends completely upon its host, so it doesn&#39;t need any soil. Anyway, it has no roots, leaves or stem."|"Full sun, Partial sun, Shade"|"average"|"low"
Ranunculus|Buttercup; Crowfoot; Spearwort|"Annuals, Bulbs, Perennials"|"The flowers are usually yellow, but may also be white, pink and red."|":7:8:9:10:11:"|"Spring, Summer"|"Ranunculus can reach a height of between 20 and 60 cm (8 inches to 2 ft), depending on species."|"The plant prefers moist and well drained soil. The pH level of the soil should be slightly acidic."|"Full sun, Partial sun"|"average"|"low"
Rhododendron|Azalea|"Shrubs, Trees"|"Rhododendron blooms in various colors, from pure white to red, orange and pink to gold and purple."|":3:4:5:6:7:8:9:10:11:"|"Spring, Autumn, Winter, Summer"|"The species range in size from low ground covers and medium sized shrubs to trees that can reach 25 metres (82 ft) tall."|"Rhododendrons will perform best in moist and well drained soil, with a pH level between 4.5 and 6.0."|"Partial sun"|"average"|"low"
Rondeletia|Rondeletia|"Shrubs, Trees"|"The flowers are white, yellow, pink and red, sometimes with yellow centers."|":9:10:11:"|"Spring, Autumn, Winter, Summer"|"The plant can grow up to 4,5 metres (15 ft) tall."|"Rondeletia will grow best in rich, moist and well drained soil that is slightly acidic."|"Full sun, Partial sun"|"average"|"low"
Rosa|Rose|"Climbers, Roses, Shrubs"|"Roses range in color from white and yellow to red, pink and purple."|":2:3:4:5:6:7:8:9:10:"|"Spring, Autumn, Summer"|"Roses range in size from dwarf species to climbers that can reach 12 metres (40 ft) in height."|"This plant grows best in moist and well drained soil, with a pH level between 5.5 and 7.0."|"Full sun, Partial sun"|"average"|"medium"
Rudbeckia|Black-eyed Susan; Coneflower|"Annuals, Perennials"|"Rudbeckias are mostly yellow, but also can be red and orange, with central cones that can be green, black and brown."|":3:4:5:6:7:8:9:"|"Autumn, Summer"|"This plant grows between 30 and 120 cm (1 to 4 ft) in height."|"Rudbeckia likes moist and well drained soil that is neutral, alkaline or acidic."|"Full sun, Partial sun"|"average"|"low"
Russelia|Russelia|"Annuals, Perennials, Shrubs"|"These plants have attractively colored flowers in shades of red, pink and cream."|":9:10:11:"|"Spring, Autumn, Summer"|"These plants can grow up to 1.8 m (6 ft) in height."|"They prefer moist and well-drained soil, with a pH range between 6.0 and 8.0."|"Full sun, Partial sun"|"low"|"low"
Salvia|Sage|"Annuals, Perennials, Shrubs"|"Salvia blooms in a range of colors, from traditional dark blue to light blue, red, pink, and white."|":3:4:5:6:7:8:9:10:11:"|"Spring, Autumn, Winter, Summer"|"Salvia grows from 30 cm to 180 cm (1 to 6 ft) tall, depending on species."|"Salvia grows best in moist, but well-drained soil, with a pH level between 6.0 and 7.0."|"Full sun, Partial sun"|"average"|"low"
Sandersonia|Christmas Bells; Chinese Lantern Lily|"Climbers, Perennials"|"The flowers are orange or yellow."|":8:9:10:11:"|"Spring, Summer"|"This plant grows up to 90 cm (3 ft) in height."|"Sandersonia aurantiaca prefers sandy or loamy soil that is moist, well drained and slightly acidic."|"Full sun"|"average"|"low"
Saxifraga|Saxifrage; Rockfoil|"Perennials"|"The flowers are usually white, but may be yellow, purple, pink and red."|":3:4:5:6:7:8:9:10:"|"Spring, Autumn, Winter, Summer"|"This plant usually reaches about 30 cm (1 ft) in height."|"Appropriate soil type depends on species. In general, these plants like moist and well-drained soil, with a pH level between 6.0 and 8.0."|"Full sun, Partial sun, Shade"|"average"|"low"
Scabiosa|Scabious; Pincushion Flower|"Annuals, Perennials"|"These flowers come in different colors including blue, purple, white, yellow, pink and red."|":3:4:5:6:7:8:9:"|"Autumn, Summer"|"Scabiosa typically ranges in height from 15 cm (6 inches) to 60 cm (2 ft)."|"Scabiosa grows best in rich soil with good drainage and with plenty of sunlight. It can be grown in soils with a pH range from 5.0 to 7.5."|"Full sun"|"average"|"low"
Scilla|Squill|"Bulbs"|"Scilla comes in shades of blue, purple and white. The blue ones are very pretty, some of the best blues to be found among flowers."|":2:3:4:5:6:7:8:9:10:"|"Spring, Winter"|"Scilla can grow up to 60 cm (2 ft) high However, some species are less than 10 cm (4 inches) tall."|"Scilla likes rich and well drained soil, with a pH level between 6.0 and 8.0. It will not grow well in waterlogged soils."|"Full sun, Partial sun"|"average"|"low"
Sedum|Stonecrop|"Annuals, Cactus - Succulents, Perennials, Shrubs"|"The flowers come in a rainbow of colors, from red, orange, pink and purple to yellow and white. The foliage can be found in different colors, too."|":3:4:5:6:7:8:9:10:"|"Autumn, Summer"|"Sedums can grow from 10 to 90 cm (4 inches to 3 ft), depending on variety."|"These plants prefer well drained soil that is neutral, alkaline or acidic. The ideal soil pH is between 6.0 and 8.0."|"Full sun, Partial sun"|"low"|"low"
Solidago|Goldenrod|"Perennials"|"Goldenrods come in a bright, golden-yellow color."|":3:4:5:6:7:8:9:"|"Autumn, Summer"|"Goldenrods can grow up to 90 cm (3 ft) in height, while some species are only 10 cm (4 inches) tall."|"Solidago grows best in well drained soil that is acidic to neutral."|"Full sun"|"average"|"low"
Spiraea|Spirea|"Shrubs"|"The flowers come in shades of purple, pink, yellow, cream and white."|":3:4:5:6:7:8:9:"|"Spring, Autumn, Summer"|"These plants can grow up to 3 m (10 ft) in height, depending on species."|"The plant grows in almost any type of soil that is well-drained. The ideal soil pH is between 6.0 and 7.0. If soil is too alkaline (above 7.0), it may reduce the plant&#39;s ability to take up some nutrients resulting in the yellowing of foliage (chlorosis)."|"Full sun, Partial sun"|"average"|"low"
Strelitzia|Bird of Paradise; Crane Flower|"Perennials, Shrubs"|"The flowers are orange, red, yellow or even blue and purple."|":9:10:11:12:"|"Spring, Autumn, Winter, Summer"|"Strelitzia can grow as tall as 1 m (3 ft) or taller, while some species (Strelitzia nicolai) can reach 10 metres (33 ft) high."|"Strelitzia prefers organically rich, moist and well drained soil. The optimal soil pH is between 6.0 and 6.5. If treated well, this plant can produce up to 36 flower spikes a year."|"Full sun, Partial sun"|"average"|"low"
Syringa|Lilac|"Shrubs, Trees"|"Although they get their common name from their most popular color, Lilacs can also be found in other colors such as blue, red, pink, white and yellow."|":3:4:5:6:7:8:"|"Spring, Summer"|"Lilacs range in size from 2 to 10 metres (7 to 33 ft) high, depending on species."|"These plants prefer fertile, moist, but well-drained soil. The ideal soil pH for growing Lilacs is neutral to alkaline."|"Full sun, Partial sun"|"average"|"low"
Tagetes|Marigold|"Annuals, Perennials, Shrubs"|"Tagetes comes in shades of yellow, orange and even white."|":2:3:4:5:6:7:8:9:10:11:"|"Spring, Autumn, Summer"|"These species range in size from 15 to 80 cm (6 inches to 3 ft) tall, rarely until 2 metres (7 ft)."|"Tagetes grows in almost any soil, but will perform best in moderately fertile, well-drained soil."|"Full sun"|"average"|"low"
Tanacetum|Tanacetum|"Annuals, Perennials, Shrubs"|"The flowers are usually white or yellow, depending on species."|":3:4:5:6:7:8:9:"|"Summer"|"These plants can grow from a few inches to 150 cm (5 ft) tall."|"Tanacetum prefers moist and well-drained soil, but tolerates a wide variety of soils and pH conditions."|"Full sun, Partial sun"|"average"|"medium"
Taraxacum|Dandelion|"Perennials"|"The flowers are usually bright yellow, but they can be darker or even white, such as Taraxacum albidum."|":3:4:5:6:7:8:9:10:"|"Spring, Autumn, Winter, Summer"|"Dandelions range in height from 5 to 50 cm (2-20 inches) in height."|"Although Dandelions adopt most conditions and grow everywhere, they will grow best in moist areas with fertile and well-drained soil."|"Full sun, Partial sun"|"average"|"low"
Tigridia|Tiger Flower; Mexican Shellflower|"Bulbs"|"The flowers may be red, yellow, white, cream, orange, scarlet, pink and mauve."|":8:9:10:11:"|"Summer"|"These plants usually grow between 30 and 60 cm (1-2 ft) tall."|"Tigridia performs best in rich and well-drained soil. It is not too fussy when it comes to soil pH."|"Full sun, Partial sun"|"average"|"low"
Torenia|Wishbone Flower; Bluewings; Clown Flower|"Annuals"|"The flowers come in shades of purple, blue, pink, yellow and white."|":2:3:4:5:6:7:8:9:10:11:"|"Spring, Autumn, Summer"|"Torenia grows up to 30 cm (1 ft) in height."|"Torenia prefers rich, loamy, moist and well drained soil. The plant is not particular about soil pH, but it does best in a soil that is slightly acidic."|"Partial sun, Shade"|"average"|"medium"
Tradescantia|Spiderwort|"Perennials"|"The flowers come in shades of blue, purple, pink, red and white."|":4:5:6:7:8:9:10:11:12:"|"Spring, Autumn, Summer"|"This plant can reach up to 90 cm in height."|"Spiderwort prefers fertile, moist and well-drained soil. The soil should be acidic, with a pH range between 5.0 and 6.5."|"Full sun, Partial sun, Shade"|"average"|"low"
Tricyrtis|Toad Lily|"Perennials"|"The flowers come in shades of red, purple, white and yellow."|":4:5:6:7:8:9:"|"Autumn, Summer"|"Tricyrtis reaches up to 90 cm (3 ft) in height."|"Tricyrtis prefers rich, moist and well-drained soil, with a pH from acid to neutral. The plant is adaptable and can tolerate heat, cold and humidity."|"Partial sun, Shade"|"average"|"low"
Trillium|Wake Robin; Birthroot|"Perennials"|"Flower color varies from red, pink, maroon and purple to yellow and white."|":3:4:5:6:7:8:9:"|"Spring, Summer"|"Trillium usually grows between 30 and 60 cm (1-2 ft) in height."|"Trillium performs best in rich, moist and well-drained soil that is neutral to slightly acidic."|"Partial sun, Shade"|"average"|"low"
Trollius|Globe Flower|"Perennials"|"These beautiful flowers bloom in shades of yellow, orange and white."|":3:4:5:6:7:8:"|"Spring, Summer"|"Trollius can grow up to 90 cm (3 ft) in height."|"Trollius prefers rich, poorly-drained soil and regular moisture. The ideal soil pH is between 5.0. and 7.0."|"Full sun, Partial sun"|"average"|"low"
Tropaeolum|Nasturtium|"Annuals, Perennials"|"Nasturtium comes in red, orange, yellow, purple and cream colors."|":2:3:4:5:6:7:8:9:10:11:"|"Spring, Autumn, Summer"|"Nasturtium vary in height from 20 cm (8 inches) to 3 metres (10 ft), depending on species."|"The plant is suitable for sandy and loamy soils with a pH between 5.5 and 7.5. It also grows in nutritionally poor soil."|"Full sun"|"average"|"low"
Ulex|Gorse; Furze|"Shrubs"|"The flowers are usually yellow in color."|":6:7:8:9:10:"|"Spring, Autumn, Winter, Summer"|"The plant can grow up to 3 metres (10 ft) high."|"The plant grows in most soils, but does best in soil that is sandy and slightly acidic. It appreciates hot sun and dry, poor soil."|"Full sun"|"low"|"low"
Ursinia|African Daisy|"Annuals, Perennials"|"Ursinia has yellow, red or orange flowers."|":3:4:5:6:7:8:9:10:11:"|"Spring, Autumn, Winter, Summer"|"Ursinia grows from 20 cm to 60 cm (8 inches to 2 ft) in height."|"Ursinia prefers sandy, fertile and well drained soil."|"Full sun, Partial sun"|"average"|"low"
Valeriana|Valerian|"Perennials"|"The flowers are white, pink or lavender."|":4:5:6:7:8:9:"|"Autumn, Summer"|"The plant can reach 1,5 meters (5 ft) in height."|"The plant performs best in fertile, moist and well drained soil, with slightly acidic to neutral pH."|"Full sun, Partial sun"|"average"|"low"
Verbascum|Mullein|"Annuals, Perennials"|"These flowers are primarily bright yellow, but also white, red, purple and pink."|":5:6:7:8:9:10:"|"Spring, Summer"|"Mullein has a flower spike that reaches 3 metres (10 ft) high."|"Mullein thrives in well-drained soil that is slightly alkaline."|"Full sun"|"low"|"low"
Verbena|Vervain|"Annuals, Perennials"|"The blooms come in shades of purple, red, pink and white."|":3:4:5:6:7:8:9:10:11:12:"|"Autumn, Summer"|"Verbena grows from 7 cm to 180 cm (3 inches to 6 ft) tall, depending on species."|"This plant prefers moist, but well drained soil. It is not particular about soil pH, but it grows best in soil with a pH between 6.0 and 8.0."|"Full sun, Partial sun"|"average"|"low"
Veronica|Speedwell|"Perennials"|"Veronica comes in shades of blue, purple, pink and white."|":3:4:5:6:7:8:9:10:11:"|"Spring, Autumn, Summer"|"Veronica comes in a wide range of sizes, from dwarfs that rarely exceed 10 cm (4 inches) to large specimens that can grow more than 1,5 metres (5 ft) in height."|"This plant prefers moist, but well-drained soil that is neutral, alkaline or acidic."|"Full sun, Partial sun"|"average"|"low"
Veronicastrum|Veronicastrum|"Perennials"|"The flowers come in shades of white, purple and pink."|":3:4:5:6:7:8:9:"|"Autumn, Summer"|"Veronicastrum reaches nearly 2 m (6 ft) in height."|"Veronicastrum prefers fertile, moist and well-drained soil. It tolerates a wide range of soil pH levels."|"Full sun, Partial sun"|"average"|"low"
Vinca|Periwinkle|"Perennials, Shrubs"|"Vinca comes in shades of pink, purple, red and white."|":3:4:5:6:7:8:9:10:11:"|"Autumn, Summer"|"These plants range in size from dwarf species that grow only about 10 cm (4 inches) tall to larger types which can grow up to 60 cm (2 ft) in height."|"Periwinkle prefers moist, but well drained soil and is adaptable to soils of various pHs."|"Full sun, Partial sun, Shade"|"average"|"low"
Viola|Violet|"Annuals, Perennials, Shrubs"|"As their name suggests, many species are violet in color, but can also be blue, white, yellow and cream. Some blooms have two or even three colors."|":3:4:5:6:7:8:9:"|"Spring, Autumn, Winter, Summer"|"Violas are small plants up to 20 cm (8 inches) tall."|"They prefer rich, moist and well drained soil. The ideal pH range is between 5.0 and 6.0."|"Full sun, Partial sun"|"average"|"low"
Watsonia|Bugle Lily|"Bulbs, Perennials"|"The flowers come in shades of red, pink, orange, purple and white."|":8:9:10:11:"|"Spring, Autumn, Winter, Summer"|"This plant grows from 30 cm to 2 metres (1 ft to 7 ft) in height."|"Soil should be acidic or neutral and should be moist and well-drained."|"Full sun"|"average"|"low"
Weigela|Weigela|"Shrubs"|"The flowers come in shades of red, pink, white and yellow."|":4:5:6:7:8:9:"|"Spring, Autumn, Summer"|"This plant grows from 30 cm (1 ft) to 3 metres (10 ft) high."|"Weigela prefers fertile and moist, but well-drained soil. It can tolerate soil pH levels between 5.5 and 7.5."|"Full sun, Partial sun"|"average"|"low"
Wisteria|Wisteria|"Climbers"|"Wisteria comes in shades of white, blue, purple and pink."|":5:6:7:8:9:"|"Spring, Summer"|"Wisteria grows from 180 cm to 12 metres (6 to 40 ft) tall, depending on species."|"Wisteria likes moist, well-drained and fertile soil. It grows best in slightly acidic to neutral soil."|"Full sun, Partial sun"|"average"|"hard"
Xanthisma|Xanthisma|"Annuals, Perennials"|"The flowers are generally yellow in color, but there are also varieties that are white and purple."|":3:4:5:6:7:8:9:"|"Spring, Autumn, Winter, Summer"|"This plant can reach a height of 60 cm (2 ft)."|"Xanthisma prefers well-drained, sandy soil and can survive in dry soil as well. It tolerates pH levels between 5.0 and 7.0."|"Full sun, Partial sun"|"low"|"low"
Xeranthemum|Xeranthemum|"Annuals"|"These flowers come in shades of pink, purple and white."|":2:3:4:5:6:7:8:9:10:"|"Autumn, Summer"|"This plant can grow between 30 and 90 cm (1-3 ft) tall."|"Xeranthemum prefers fertile, moist and well-drained soil."|"Full sun"|"average"|"low"
Xerochrysum|Xerochrysum|"Annuals, Perennials, Shrubs"|"Its bracts are yellow, orange, purple, pink and red."|":8:9:10:11:"|"Spring, Autumn, Summer"|"Xerochrysum grows from 20 to 150 cm (8 inches to 5 ft) tall, depending on species."|"Xerochrysum prefers soil with a pH of 5.5 to 7.5,, but the plant grows in nearly any well-drained soil."|"Full sun"|"average"|"low"
Xerophyllum|Xerophyllum|"Herbs, Perennials"|"Xerophyllum has unique cream-colored flowers."|":4:5:6:7:8:"|"Spring, Summer"|"These plants can grow from 50 cm to 1,5 meters (2-5 ft) tall, with numerous small flowers growing on long flower stalks."|"Xerophyllum prefers sandy or loamy soil that is well-drained."|"Full sun, Partial sun"|"low"|"low"
Yucca|Yucca|"Cactus - Succulents, Shrubs, Trees"|"The Yucca plant has green, sword-like leaves and white or whitish flowers."|":4:5:6:7:8:9:10:11:"|"Spring, Autumn, Summer"|"Yucca grows from 60 cm to 4,5 metres (2 to 15 ft) high, depending on species."|"This plant grows best in sandy and well drained soil, with a pH level between 5.5 and 7.5."|"Full sun, Partial sun"|"low"|"low"
Zantedeschia|Calla Lily; Arum Lily|"Bulbs, Perennials"|"Calla Lily is available in a multitude of colors including white, yellow, orange, pink, purple and even black."|":3:4:5:6:7:8:9:10:"|"Spring, Summer"|"The plant grows between 30 and 90 cm (1 to 3 ft) tall."|"This plant grows best in moist and well-drained soil. The ideal soil pH level is between 6.0 and 6.5."|"Full sun, Partial sun"|"average"|"low"
Zephyranthes|Rain Lily; Fairy Lily|"Annuals, Bulbs, Perennials"|"The flowers may be yellow, pink and white."|":7:8:9:10:11:"|"Spring, Autumn, Summer"|"The plant can grow up to 30 cm (1 ft) in height."|"Zephyranthes prefers well-drained soil with a good application of organic material."|"Full sun, Partial sun"|"average"|"medium"
Zinnia|Zinnia|"Annuals, Perennials, Shrubs"|"These flowers are known for their vivid colors. They are often multi-colored and may be yellow, orange, white, red, pink and purple."|":2:3:4:5:6:7:8:9:10:11:"|"Autumn, Summer"|"Zinnias range in size from dwarf species that only grow 17 cm (7 inches) high to vigorous types over 120 cm (4 ft) tall."|"Zinnias prefer fertile and moist, but well-drained soil, with a pH level between 5.5 and 7.5."|"Full sun"|"average"|"low"
Zygopetalum|Zygo|"Perennials"|"Zygopetalum has unusually colored flowers in shades of blue, purple, red and white."|":9:10:11:"|"Spring, Autumn, Winter"|"Zygopetalum usually grows to a height of 40 cm (16 inches)."|"These plants prefer moist and well-drained soil, with a pH level between 5.5 and 6.5."|"Full sun, Partial sun"|"average"|"medium"
